league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LPL,Victory Five,Weiwei,Jungle,12,13,3.24,2.52,6.16,3.73,184.6,6.32,10700.0,365,0.205,0.765,0.264
LPL,Bilibili Gaming,Meteor,Jungle,11,14,2.92,1.68,4.88,4.64,229.28,7.01,12100.0,371,0.20800000000000002,0.644,0.24100000000000002
LPL,FunPlus Phoenix,Nuguri,Top,17,6,2.26,2.48,6,3.33,254.09,8.53,12300.0,413,0.212,0.515,0.141
LPL,JD Gaming,Zoom,Top,14,9,2.52,2.52,5.35,3.12,264.74,8.44,12400.0,394,0.215,0.5589999999999999,0.179
LPL,JD Gaming,LokeN,Bot,14,9,4.04,2.26,5.87,4.38,292.17,9.31,13600.0,434,0.237,0.7040000000000001,0.287
LPL,EDward Gaming,Viper,Bot,18,4,5.41,1.77,5.18,5.97,343.45,10.38,15700.0,475,0.252,0.698,0.35600000000000004
LPL,Rare Atom,iBoy,Bot,14,8,3.64,2.32,5.41,3.9,330.14,9.87,15000.0,448,0.242,0.679,0.273
LPL,Royal Never Give Up,Wei,Jungle,19,5,3.54,2.5,8.08,4.65,180.04,5.51,11500.0,352,0.185,0.706,0.215
LPL,Team WE,beishang,Jungle,16,8,3.75,1.67,6.42,6.1,200.79,6.59,11500.0,378,0.201,0.674,0.249
LPL,Invictus Gaming,XUN,Jungle,14,10,4.79,2.67,6.08,4.08,189.79,6.37,11400.0,383,0.20800000000000002,0.723,0.319
LPL,EDward Gaming,Flandre,Top,18,4,2.77,1.64,6.05,5.39,280.45,8.47,13500.0,407,0.21600000000000003,0.581,0.183
LPL,Rare Atom,Cube,Top,14,8,2.32,2.18,4.55,3.15,275.77,8.24,12700.0,380,0.205,0.515,0.174
LPL,Suning,Bin,Top,11,10,3,2.24,5.52,3.81,262.24,8.03,13000.0,397,0.22,0.639,0.225
LPL,LNG Esports,Light,Bot,10,12,4.36,1.95,4.23,4.4,314.59,9.88,14200.0,447,0.252,0.73,0.371
